date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2024-02-23,-0.45,0.04,-0.49,42.42,35.49,6.93
2024-02-26,0.31,-0.37,0.68,42.86,34.99,7.88
2024-02-27,0.33,0.17,0.16,43.33,35.22,8.12
2024-02-28,0.39,-0.16,0.55,43.9,35.01,8.89
2024-02-29,0.68,0.54,0.13,44.87,35.74,9.13
2024-03-01,0.33,0.81,-0.48,45.35,36.84,8.52
2024-03-04,-1.35,-0.12,-1.24,43.39,36.68,6.71
2024-03-05,-1.24,-1.02,-0.23,41.61,35.29,6.32
2024-03-06,-0.36,0.52,-0.88,41.1,35.99,5.11
2024-03-07,0.76,1.04,-0.28,42.18,37.41,4.77
2024-03-08,-0.37,-0.65,0.28,41.65,36.53,5.13
2024-03-11,-0.27,-0.11,-0.16,41.27,36.37,4.9
2024-03-12,0.86,1.12,-0.26,42.49,37.91,4.58
2024-03-13,-0.21,-0.19,-0.02,42.19,37.65,4.54
2024-03-14,-0.64,-0.26,-0.37,41.28,37.28,4.0
2024-03-15,-1.0,-0.64,-0.35,39.88,36.4,3.48
2024-03-18,0.76,0.63,0.13,40.94,37.26,3.68
2024-03-19,0.87,0.56,0.3,42.16,38.04,4.13
2024-03-20,1.49,0.9,0.59,44.28,39.28,5.0
2024-03-21,0.58,0.33,0.26,45.12,39.74,5.39
2024-03-22,-0.87,-0.14,-0.74,43.86,39.55,4.31
2024-03-25,-0.33,-0.31,-0.02,43.38,39.12,4.26
2024-03-26,0.13,-0.28,0.41,43.57,38.73,4.83
2024-03-27,1.16,0.88,0.28,45.23,39.95,5.28
2024-03-28,-0.31,0.11,-0.42,44.78,40.11,4.67
2024-03-29,0.0,0.0,0.0,44.78,40.11,4.67
2024-04-01,-0.75,-0.2,-0.54,43.7,39.83,3.87
2024-04-02,-1.47,-0.72,-0.75,41.58,38.82,2.76
2024-04-03,0.07,0.11,-0.04,41.68,38.98,2.71
2024-04-04,-1.17,-1.22,0.05,40.02,37.28,2.74
2024-04-05,0.56,1.11,-0.55,40.8,38.8,2.0
2024-04-08,0.95,-0.04,0.99,42.14,38.75,3.39
