date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2024-03-14,0.02,-1.51,1.53,70.85,8.09,62.76
2024-03-15,-1.51,-0.12,-1.39,68.27,7.96,60.31
2024-03-18,0.49,-0.05,0.54,69.1,7.91,61.19
2024-03-19,0.52,0.06,0.46,69.97,7.97,62.0
2024-03-20,1.12,0.64,0.48,71.88,8.67,63.21
2024-03-21,0.07,0.73,-0.66,72.0,9.46,62.54
2024-03-22,0.03,-1.33,1.36,72.06,8.0,64.05
2024-03-25,-0.66,-0.46,-0.2,70.92,7.51,63.41
2024-03-26,-0.41,-0.49,0.07,70.21,6.98,63.23
2024-03-27,0.51,2.55,-2.03,71.08,9.71,61.37
2024-03-28,-0.22,0.76,-0.98,70.71,10.54,60.17
2024-03-29,0.0,0.0,0.0,70.71,10.54,60.17
2024-04-01,0.28,-1.75,2.03,71.19,8.6,62.58
2024-04-02,-0.96,-1.25,0.29,69.54,7.24,62.3
2024-04-03,0.27,0.07,0.2,69.99,7.32,62.67
2024-04-04,-1.58,-0.63,-0.95,67.3,6.64,60.66
2024-04-05,1.15,0.57,0.57,69.22,7.25,61.97
2024-04-08,-0.12,1.06,-1.18,69.02,8.39,60.63
2024-04-09,0.5,1.3,-0.8,69.88,9.8,60.07
2024-04-10,-1.23,-4.08,2.86,67.79,5.32,62.47
2024-04-11,2.0,0.21,1.79,71.15,5.54,65.6
2024-04-12,-1.62,-1.06,-0.55,68.38,4.42,63.96
2024-04-15,-1.9,-1.65,-0.25,65.18,2.69,62.48
2024-04-16,0.12,-1.45,1.57,65.38,1.21,64.17
2024-04-17,-1.44,-0.77,-0.67,62.99,0.43,62.56
2024-04-18,-1.14,0.07,-1.21,61.13,0.49,60.63
2024-04-19,-2.06,0.48,-2.54,57.81,0.98,56.83
2024-04-22,0.89,0.84,0.06,59.22,1.82,57.4
2024-04-23,1.48,0.95,0.54,61.58,2.79,58.79
2024-04-24,0.46,0.18,0.28,62.32,2.97,59.35
2024-04-25,-0.22,-0.61,0.4,61.97,2.34,59.63
2024-04-26,1.13,0.09,1.04,63.79,2.43,61.37
2024-04-29,0.43,1.06,-0.63,64.5,3.51,60.99
2024-04-30,-2.2,-1.75,-0.46,60.88,1.7,59.17
2024-05-01,-1.02,0.14,-1.16,59.23,1.84,57.39
2024-05-02,1.44,1.38,0.06,61.52,3.24,58.28
2024-05-03,2.79,0.68,2.1,66.02,3.95,62.07
2024-05-06,1.18,0.09,1.09,67.97,4.04,63.93
2024-05-07,-0.33,0.89,-1.21,67.42,4.97,62.46
2024-05-08,0.28,-0.86,1.14,67.9,4.06,63.84
2024-05-09,-0.03,2.05,-2.08,67.85,6.19,61.66
2024-05-10,0.37,-0.27,0.64,68.47,5.91,62.56
2024-05-13,0.47,0.3,0.17,69.27,6.23,63.04
2024-05-14,0.89,0.79,0.1,70.77,7.07,63.7
2024-05-15,2.25,1.42,0.83,74.61,8.59,66.03
2024-05-16,-0.35,-0.13,-0.22,74.01,8.45,65.56
2024-05-17,-0.22,0.02,-0.24,73.62,8.47,65.15
2024-05-20,1.18,-0.64,1.81,75.66,7.78,67.89
2024-05-21,0.16,-0.04,0.2,75.95,7.73,68.21
2024-05-22,0.22,-0.86,1.08,76.34,6.81,69.53
2024-05-23,-0.81,-2.14,1.32,74.91,4.53,70.38
2024-05-24,0.84,0.04,0.8,76.38,4.57,71.81
