date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2024-03-08,-0.18,-0.25,0.06,9.9,26.57,-16.68
2024-03-11,-0.05,-0.53,0.47,9.84,25.91,-16.07
2024-03-12,0.46,0.45,0.01,10.35,26.48,-16.13
2024-03-13,-0.39,0.24,-0.63,9.92,26.79,-16.87
2024-03-14,-0.36,-0.42,0.07,9.53,26.26,-16.73
2024-03-15,-0.4,0.08,-0.48,9.1,26.36,-17.26
2024-03-18,-0.01,0.17,-0.18,9.08,26.57,-17.49
2024-03-19,0.66,0.82,-0.16,9.81,27.61,-17.81
2024-03-20,-0.23,1.21,-1.44,9.56,29.16,-19.6
2024-03-21,0.13,1.0,-0.87,9.7,30.45,-20.75
2024-03-22,-0.14,-0.33,0.2,9.55,30.02,-20.47
2024-03-25,-0.14,-0.68,0.55,9.4,29.13,-19.73
2024-03-26,0.36,-0.36,0.73,9.8,28.66,-18.86
2024-03-27,1.33,1.62,-0.29,11.26,30.74,-19.48
2024-03-28,0.01,0.07,-0.05,11.27,30.83,-19.55
2024-03-29,0.0,0.0,0.0,11.27,30.83,-19.55
2024-04-01,-0.85,-0.79,-0.07,10.33,29.8,-19.48
2024-04-02,-1.56,-0.52,-1.04,8.61,29.13,-20.52
2024-04-03,-0.11,0.51,-0.62,8.49,29.79,-21.3
2024-04-04,-1.44,-0.86,-0.59,6.92,28.68,-21.76
2024-04-05,0.89,1.43,-0.53,7.88,30.51,-22.64
2024-04-08,-0.32,-0.21,-0.11,7.53,30.23,-22.7
2024-04-09,0.36,-0.22,0.58,7.92,29.94,-22.03
2024-04-10,-1.17,-0.84,-0.34,6.65,28.86,-22.21
2024-04-11,-0.41,0.11,-0.52,6.21,29.0,-22.79
2024-04-12,-1.49,-1.06,-0.43,4.63,27.64,-23.0
2024-04-15,-0.2,-0.73,0.52,4.42,26.71,-22.29
2024-04-16,0.04,-0.2,0.23,4.46,26.46,-22.0
2024-04-17,-0.17,-0.57,0.39,4.28,25.74,-21.47
2024-04-18,-0.01,-0.35,0.34,4.27,25.3,-21.03
2024-04-19,0.38,-0.17,0.55,4.66,25.09,-20.43
2024-04-22,0.38,0.75,-0.37,5.06,26.02,-20.96
2024-04-23,1.3,1.4,-0.1,6.43,27.79,-21.36
2024-04-24,-0.31,-0.78,0.47,6.1,26.79,-20.69
2024-04-25,-0.67,0.29,-0.95,5.39,27.15,-21.76
2024-04-26,0.03,0.17,-0.14,5.42,27.37,-21.95
2024-04-29,0.34,0.69,-0.36,5.78,28.25,-22.48
2024-04-30,-0.07,-1.64,1.57,5.7,26.15,-20.45
2024-05-01,0.18,-0.21,0.39,5.89,25.89,-20.0
2024-05-02,-0.07,0.58,-0.65,5.81,26.61,-20.8
2024-05-03,0.25,0.71,-0.46,6.08,27.51,-21.44
2024-05-06,0.4,1.01,-0.6,6.51,28.79,-22.29
2024-05-07,0.83,0.25,0.58,7.39,29.11,-21.72
2024-05-08,-0.34,0.03,-0.37,7.02,29.15,-22.13
2024-05-09,0.86,0.94,-0.08,7.94,30.36,-22.43
2024-05-10,0.2,0.12,0.09,8.16,30.51,-22.36
2024-05-13,-0.1,-0.45,0.35,8.05,29.93,-21.88
2024-05-14,0.43,0.0,0.42,8.51,29.93,-21.42
2024-05-15,1.49,0.63,0.86,10.12,30.75,-20.63
2024-05-16,-0.12,-0.6,0.48,9.99,29.97,-19.97
2024-05-17,0.19,0.12,0.07,10.2,30.13,-19.92
2024-05-20,-0.21,0.17,-0.38,9.97,30.35,-20.38
2024-05-21,0.17,-0.33,0.5,10.16,29.92,-19.76
2024-05-22,0.18,0.15,0.02,10.36,30.12,-19.76
2024-05-23,-1.09,-1.19,0.1,9.15,28.56,-19.41
2024-05-24,-0.34,0.56,-0.9,8.78,29.28,-20.5
2024-05-27,0.0,0.0,0.0,8.78,29.28,-20.5
2024-05-28,-1.21,-1.26,0.05,7.46,27.65,-20.19
2024-05-29,-0.78,-1.42,0.65,6.63,25.83,-19.2
2024-05-30,0.05,0.71,-0.66,6.68,26.72,-20.04
2024-05-31,1.46,1.19,0.27,8.24,28.23,-19.99
2024-06-03,0.7,-1.21,1.92,9.0,26.67,-17.67
2024-06-04,0.29,-0.22,0.51,9.32,26.39,-17.08
2024-06-05,0.45,1.0,-0.55,9.81,27.66,-17.85
2024-06-06,0.33,-0.6,0.93,10.17,26.9,-16.72
2024-06-07,0.11,0.12,-0.01,10.3,27.04,-16.75
2024-06-10,0.37,0.29,0.08,10.7,27.42,-16.71
2024-06-11,-0.42,-0.54,0.12,10.24,26.73,-16.49
2024-06-12,-0.21,0.93,-1.14,10.01,27.9,-17.89
2024-06-13,-0.08,-0.64,0.56,9.92,27.08,-17.16
2024-06-14,-0.03,-1.01,0.98,9.88,25.8,-15.91
2024-06-17,-0.1,1.08,-1.18,9.77,27.15,-17.38
2024-06-18,0.13,0.55,-0.42,9.91,27.85,-17.94
2024-06-19,0.0,0.0,0.0,9.91,27.85,-17.94
2024-06-20,0.33,0.06,0.27,10.27,27.93,-17.65
2024-06-21,0.28,-0.14,0.42,10.58,27.75,-17.17
2024-06-24,0.58,0.38,0.21,11.22,28.23,-17.01
2024-06-25,-0.31,-0.84,0.53,10.88,27.15,-16.28
2024-06-26,-0.35,-0.24,-0.11,10.48,26.85,-16.36
2024-06-27,-0.16,0.05,-0.21,10.3,26.9,-16.6
2024-06-28,-0.08,0.1,-0.18,10.21,27.03,-16.82
2024-07-01,-0.56,-1.1,0.54,9.59,25.64,-16.05
2024-07-02,-0.37,0.55,-0.92,9.19,26.33,-17.14
2024-07-03,-0.76,0.4,-1.16,8.36,26.84,-18.48
2024-07-04,0.0,0.0,0.0,8.36,26.84,-18.48
2024-07-05,0.77,-0.39,1.17,9.2,26.34,-17.14
2024-07-08,-0.11,0.13,-0.24,9.08,26.5,-17.43
2024-07-09,0.49,-0.45,0.94,9.61,25.93,-16.33
2024-07-10,0.95,0.9,0.05,10.64,27.06,-16.42
2024-07-11,0.7,1.27,-0.57,11.42,28.68,-17.26
2024-07-12,0.62,0.53,0.09,12.12,29.36,-17.25
2024-07-15,-0.35,0.7,-1.05,11.72,30.27,-18.55
2024-07-16,1.43,2.54,-1.11,13.32,33.57,-20.26
2024-07-17,0.45,-1.3,1.75,13.83,31.84,-18.01
2024-07-18,-2.27,-0.73,-1.54,11.25,30.88,-19.63
2024-07-19,0.51,-0.6,1.11,11.81,30.09,-18.28
2024-07-22,0.57,1.09,-0.51,12.46,31.51,-19.05
2024-07-23,-0.06,-0.21,0.15,12.39,31.24,-18.85
2024-07-24,0.83,-2.17,3.0,13.33,28.4,-15.07
2024-07-25,-0.5,0.76,-1.26,12.76,29.37,-16.61
2024-07-26,0.56,1.73,-1.16,13.39,31.61,-18.21
2024-07-29,0.06,-0.16,0.22,13.46,31.4,-17.94
2024-07-30,0.09,0.28,-0.19,13.56,31.76,-18.2
2024-07-31,-0.37,1.13,-1.5,13.14,33.25,-20.11
2024-08-01,1.02,-1.83,2.85,14.3,30.82,-16.52
2024-08-02,-0.2,-2.19,1.99,14.07,27.95,-13.88
2024-08-05,-2.67,-1.71,-0.96,11.03,25.76,-14.73
2024-08-06,0.46,1.18,-0.71,11.54,27.24,-15.7
2024-08-07,-1.02,-0.53,-0.49,10.41,26.57,-16.16
2024-08-08,2.21,2.31,-0.09,12.85,29.49,-16.64
2024-08-09,0.5,0.02,0.48,13.41,29.51,-16.1
2024-08-12,-0.38,-0.49,0.11,12.98,28.88,-15.9
2024-08-13,1.21,1.07,0.14,14.35,30.26,-15.91
2024-08-14,0.36,0.42,-0.06,14.75,30.81,-16.05
2024-08-15,0.63,1.32,-0.7,15.47,32.54,-17.07
2024-08-16,0.1,-0.14,0.25,15.59,32.35,-16.76
2024-08-19,0.61,0.62,-0.01,16.3,33.17,-16.87
2024-08-20,0.4,-0.29,0.69,16.77,32.79,-16.03
2024-08-21,0.17,0.61,-0.45,16.96,33.61,-16.64
2024-08-22,0.06,-0.18,0.24,17.04,33.37,-16.33
2024-08-23,0.43,1.05,-0.61,17.55,34.76,-17.22
2024-08-26,-0.05,-0.12,0.07,17.48,34.6,-17.12
2024-08-27,0.15,0.02,0.14,17.67,34.63,-16.96
2024-08-28,0.12,-0.04,0.15,17.8,34.57,-16.77
2024-08-29,0.21,0.7,-0.49,18.05,35.52,-17.47
2024-08-30,0.69,1.14,-0.45,18.87,37.06,-18.2
2024-09-02,0.0,0.0,0.0,18.87,37.06,-18.2
2024-09-03,-0.19,-2.24,2.05,18.64,34.0,-15.36
2024-09-04,-0.17,0.12,-0.29,18.44,34.15,-15.72
2024-09-05,-1.37,-1.18,-0.19,16.81,32.57,-15.76
2024-09-06,-0.34,-1.06,0.72,16.41,31.16,-14.75
2024-09-09,0.7,1.57,-0.87,17.23,33.22,-15.99
2024-09-10,0.46,0.17,0.28,17.76,33.45,-15.69
2024-09-11,-0.3,0.21,-0.51,17.42,33.74,-16.32
2024-09-12,0.36,0.73,-0.37,17.84,34.71,-16.87
2024-09-13,0.21,1.01,-0.8,18.08,36.06,-17.98
2024-09-16,0.69,0.53,0.16,18.9,36.79,-17.89
2024-09-17,-1.03,0.52,-1.55,17.67,37.5,-19.83
2024-09-18,-0.17,-0.09,-0.08,17.48,37.38,-19.9
2024-09-19,0.36,1.75,-1.39,17.9,39.79,-21.89
2024-09-20,-0.41,-0.69,0.28,17.42,38.82,-21.41
2024-09-23,-0.19,0.66,-0.86,17.19,39.74,-22.55
2024-09-24,-0.2,0.7,-0.9,16.95,40.72,-23.77
2024-09-25,-0.97,-0.45,-0.52,15.81,40.08,-24.27
2024-09-26,0.33,0.5,-0.17,16.2,40.79,-24.59
2024-09-27,-0.05,0.15,-0.2,16.14,41.0,-24.86
2024-09-30,0.65,0.5,0.15,16.9,41.71,-24.81
2024-10-01,-0.53,-0.01,-0.52,16.28,41.69,-25.41
2024-10-02,-0.2,-0.19,-0.01,16.05,41.42,-25.37
2024-10-03,-0.9,-0.49,-0.41,15.0,40.72,-25.72
2024-10-04,0.08,0.73,-0.65,15.09,41.75,-26.66
2024-10-07,-0.44,-0.29,-0.15,14.58,41.34,-26.76
2024-10-08,0.54,0.22,0.33,15.21,41.65,-26.44
2024-10-09,1.02,0.92,0.1,16.38,42.95,-26.57
2024-10-10,-0.37,-0.54,0.17,15.95,42.18,-26.23
2024-10-11,0.73,1.8,-1.07,16.8,44.74,-27.94
2024-10-14,0.55,0.57,-0.02,17.45,45.57,-28.12
2024-10-15,-1.22,-0.74,-0.48,16.01,44.48,-28.47
2024-10-16,0.28,0.77,-0.49,16.34,45.59,-29.26
2024-10-17,-0.58,-0.25,-0.33,15.66,45.23,-29.57
2024-10-18,0.49,0.26,0.22,16.22,45.61,-29.39
2024-10-21,-1.18,-0.34,-0.84,14.86,45.12,-30.26
2024-10-22,-0.15,-1.19,1.04,14.69,43.4,-28.71
2024-10-23,-0.47,-0.3,-0.17,14.15,42.98,-28.82
2024-10-24,-0.66,-0.71,0.05,13.4,41.96,-28.56
2024-10-25,-0.55,-0.24,-0.31,12.78,41.62,-28.84
2024-10-28,0.15,0.27,-0.12,12.94,42.0,-29.05
2024-10-29,-0.28,-0.14,-0.14,12.63,41.81,-29.17
2024-10-30,-0.19,-0.19,0.0,12.42,41.53,-29.11
2024-10-31,-0.84,-1.13,0.29,11.47,39.94,-28.46
2024-11-01,0.59,0.17,0.42,12.13,40.18,-28.04
2024-11-04,-0.66,-0.14,-0.52,11.4,39.99,-28.59
2024-11-05,0.74,1.67,-0.93,12.22,42.32,-30.1
2024-11-06,0.13,3.93,-3.81,12.36,47.92,-35.56
2024-11-07,0.72,-0.6,1.32,13.17,47.04,-33.86
2024-11-08,0.72,1.02,-0.3,13.98,48.53,-34.55
2024-11-11,-0.59,0.8,-1.38,13.32,49.71,-36.4
2024-11-12,-1.39,-0.87,-0.53,11.74,48.42,-36.68
2024-11-13,-0.26,0.22,-0.49,11.44,48.75,-37.31
2024-11-14,-1.57,-1.69,0.11,9.69,46.24,-36.55
2024-11-15,-1.85,-0.54,-1.31,7.65,45.45,-37.79
2024-11-18,0.07,-0.13,0.2,7.73,45.26,-37.53
2024-11-19,-0.51,-0.06,-0.45,7.18,45.17,-37.99
2024-11-20,1.18,0.1,1.09,8.44,45.3,-36.86
2024-11-21,0.8,1.23,-0.42,9.32,47.09,-37.77
2024-11-22,0.09,1.37,-1.28,9.42,49.1,-39.68
2024-11-25,0.85,0.66,0.19,10.35,50.09,-39.74
2024-11-26,0.54,0.15,0.38,10.94,50.32,-39.38
2024-11-27,0.53,-0.36,0.89,11.53,49.78,-38.25
2024-11-28,0.0,0.0,0.0,11.53,49.78,-38.25
2024-11-29,0.31,0.44,-0.13,11.88,50.44,-38.56
2024-12-02,-0.18,-0.64,0.46,11.68,49.48,-37.8
2024-12-03,-0.22,-0.65,0.43,11.43,48.51,-37.07
2024-12-04,-0.05,0.44,-0.5,11.37,49.17,-37.79
2024-12-05,-1.12,-1.21,0.09,10.13,47.37,-37.24
2024-12-06,-0.57,-0.24,-0.33,9.51,47.02,-37.51
2024-12-09,0.29,-0.91,1.2,9.83,45.67,-35.85
2024-12-10,-0.41,-0.22,-0.19,9.37,45.35,-35.98
2024-12-11,-1.36,-0.19,-1.17,7.88,45.07,-37.18
2024-12-12,-0.79,-0.68,-0.12,7.02,44.08,-37.06
2024-12-13,-0.01,-0.25,0.24,7.01,43.72,-36.71
2024-12-16,-1.19,0.08,-1.27,5.73,43.83,-38.1
2024-12-17,-0.07,-0.9,0.83,5.66,42.54,-36.88
2024-12-18,-1.36,-2.82,1.47,4.22,38.51,-34.29
2024-12-19,-0.76,-0.1,-0.65,3.43,38.37,-34.93
2024-12-20,1.26,1.17,0.09,4.74,39.98,-35.24
2024-12-23,0.99,-0.04,1.03,5.78,39.93,-34.15
2024-12-24,0.41,0.8,-0.39,6.22,41.05,-34.84
2024-12-25,0.0,0.0,0.0,6.22,41.05,-34.84
2024-12-26,0.2,0.06,0.14,6.43,41.14,-34.71
2024-12-27,-0.47,-0.8,0.34,5.93,40.01,-34.08
2024-12-30,-1.23,-0.98,-0.25,4.63,38.64,-34.01
2024-12-31,0.24,-0.11,0.35,4.88,38.49,-33.6
2025-01-01,0.0,0.0,0.0,4.88,38.49,-33.6
