date,periodic portfolio,periodic benchmark,periodic +/-,cumulative portfolio,cumulative benchmark,cumulative +/-
2023-10-23,-1.62,-1.59,-0.03,8.03,8.22,-0.18
2023-10-24,-1.41,-1.42,0.02,6.51,6.67,-0.16
2023-10-25,-0.18,-0.21,0.02,6.32,6.45,-0.14
2023-10-26,-0.78,-0.72,-0.06,5.49,5.69,-0.2
2023-10-27,-2.4,-2.38,-0.01,2.96,3.17,-0.21
2023-10-30,0.33,0.33,0.0,3.3,3.51,-0.21
2023-10-31,0.33,0.3,0.03,3.64,3.82,-0.18
2023-11-01,-0.23,-0.24,0.0,3.4,3.57,-0.18
2023-11-02,3.02,3.0,0.03,6.52,6.68,-0.16
2023-11-03,-1.01,-0.94,-0.06,5.45,5.68,-0.22
2023-11-06,-1.13,-1.17,0.04,4.26,4.44,-0.18
2023-11-07,-2.22,-2.22,0.0,1.95,2.12,-0.17
2023-11-08,-1.25,-1.25,0.0,0.67,0.84,-0.17
2023-11-09,-0.3,-0.3,0.0,0.37,0.54,-0.17
2023-11-10,1.1,1.09,0.01,1.47,1.63,-0.16
2023-11-13,0.72,0.75,-0.03,2.2,2.39,-0.19
2023-11-14,0.89,0.87,0.03,3.12,3.28,-0.16
2023-11-15,-0.19,-0.22,0.03,2.92,3.06,-0.13
2023-11-16,-1.95,-1.9,-0.05,0.92,1.1,-0.18
2023-11-17,2.1,2.09,0.01,3.03,3.21,-0.18
2023-11-20,0.14,0.14,0.0,3.18,3.35,-0.17
2023-11-21,-0.22,-0.22,0.0,2.95,3.12,-0.18
2023-11-22,-0.05,-0.07,0.02,2.9,3.05,-0.15
2023-11-23,0.0,0.0,0.0,2.9,3.05,-0.15
2023-11-24,0.41,0.44,-0.02,3.32,3.5,-0.18
2023-11-27,-0.35,-0.37,0.02,2.96,3.12,-0.16
2023-11-28,0.02,0.05,-0.03,2.98,3.17,-0.19
2023-11-29,-0.74,-0.77,0.02,2.22,2.38,-0.16
2023-11-30,0.67,0.65,0.02,2.9,3.04,-0.14
2023-12-01,0.52,0.54,-0.02,3.43,3.59,-0.16
2023-12-04,-0.46,-0.45,-0.01,2.96,3.13,-0.17
2023-12-05,-1.75,-1.69,-0.06,1.16,1.39,-0.23
2023-12-06,-1.49,-1.64,0.14,-0.35,-0.27,-0.08
2023-12-07,-0.68,-0.6,-0.08,-1.03,-0.87,-0.16
2023-12-08,1.08,1.12,-0.04,0.04,0.24,-0.2
2023-12-11,0.12,0.12,0.0,0.16,0.36,-0.2
2023-12-12,-1.37,-1.37,0.0,-1.21,-1.02,-0.2
2023-12-13,1.39,1.33,0.07,0.16,0.3,-0.14
2023-12-14,2.94,3.02,-0.08,3.1,3.32,-0.22
2023-12-15,-0.53,-0.5,-0.03,2.56,2.8,-0.24
2023-12-18,0.81,0.77,0.04,3.39,3.59,-0.21
2023-12-19,1.2,1.22,-0.02,4.63,4.85,-0.23
2023-12-20,-0.93,-0.94,0.01,3.66,3.87,-0.22
2023-12-21,0.39,0.39,0.0,4.06,4.28,-0.22
2023-12-22,0.3,0.26,0.04,4.37,4.54,-0.17
2023-12-25,0.0,0.0,0.0,4.37,4.54,-0.17
2023-12-26,0.86,0.9,-0.04,5.27,5.49,-0.22
2023-12-27,-0.44,-0.53,0.08,4.8,4.93,-0.13
